sequence,filename,quality,codec,model,true_class,original_pred,compressed_pred,original_confidence,compressed_confidence
1,AnnualCrop/AnnualCrop_2487.jpg,q6,cheng2020-attn,ResNet-18,AnnualCrop,AnnualCrop,SeaLake,0.9992130994796752,0.7637325525283813
2,AnnualCrop/AnnualCrop_2992.jpg,q6,cheng2020-attn,ResNet-18,AnnualCrop,AnnualCrop,SeaLake,0.5639971494674683,0.9633886218070984
3,AnnualCrop/AnnualCrop_2741.jpg,q6,cheng2020-attn,ResNet-18,AnnualCrop,AnnualCrop,SeaLake,0.9287634491920472,0.6967021822929382
4,AnnualCrop/AnnualCrop_495.jpg,q6,cheng2020-attn,ResNet-18,AnnualCrop,AnnualCrop,SeaLake,0.998454213142395,0.6639030575752258
5,AnnualCrop/AnnualCrop_1707.jpg,q6,cheng2020-attn,ResNet-18,AnnualCrop,AnnualCrop,River,0.9625605940818788,0.7106934189796448
6,AnnualCrop/AnnualCrop_615.jpg,q6,cheng2020-attn,ResNet-18,AnnualCrop,AnnualCrop,SeaLake,0.9648983478546144,0.8665488362312317
7,Forest/Forest_2243.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999467134475708,0.9999994039535522
8,Forest/Forest_2043.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.993880033493042,0.9997602105140686
9,Forest/Forest_2189.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.951162576675415,0.9997367262840272
10,Forest/Forest_937.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999998807907104,0.9999984502792358
11,Forest/Forest_2822.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9998629093170166,0.999994158744812
12,Forest/Forest_178.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9998146891593932,0.9999966621398926
13,Forest/Forest_767.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9486472606658936,0.9720252156257628
14,Forest/Forest_1801.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9958345890045166,0.9999979734420776
15,Forest/Forest_2465.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999332427978516,0.9999951124191284
16,Forest/Forest_297.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999518394470216,1.0
17,Forest/Forest_934.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999984502792358,0.9755242466926576
18,Forest/Forest_2319.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999241828918456,0.999954342842102
19,Forest/Forest_2689.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,Pasture,0.999853253364563,0.9829654097557068
20,Forest/Forest_614.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999983310699464,0.9986019730567932
21,Forest/Forest_1007.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9995445609092712,0.9974462985992432
22,Forest/Forest_443.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999704360961914,0.9990209341049194
23,Forest/Forest_2204.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999998807907104,0.9999998807907104
24,Forest/Forest_2799.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9998168349266052,0.4756724238395691
25,Forest/Forest_2675.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9658257365226746,0.99998939037323
26,Forest/Forest_2359.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999821186065674,0.9999988079071044
27,Forest/Forest_2023.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.999427318572998,0.5686977505683899
28,Forest/Forest_29.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999959468841552,0.9999951124191284
29,Forest/Forest_2484.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999997615814208,0.9999939203262328
30,Forest/Forest_956.jpg,q6,cheng2020-attn,ResNet-18,Forest,Forest,SeaLake,0.9999758005142212,0.9999997615814208
