codec,quality,vit_accuracy,resnet_accuracy,difference
jpeg,jpeg_q10,37.333333333333336,,
jpeg,jpeg_q25,63.333333333333336,,
jpeg,jpeg_q50,80.76543209876543,,
jpeg,jpeg_q75,92.8641975308642,,
jpeg,jpeg_q90,98.88888888888889,,
jpeg,jpeg_q95,99.65432098765432,,
cheng2020,cheng2020-attn_q1,31.679012345679013,,
cheng2020,cheng2020-attn_q2,37.55555555555556,,
cheng2020,cheng2020-attn_q3,47.82716049382716,,
cheng2020,cheng2020-attn_q4,60.666666666666664,,
cheng2020,cheng2020-attn_q5,71.62962962962963,,
cheng2020,cheng2020-attn_q6,81.48148148148148,,
msillm,msillm_q1,64.64197530864197,,
msillm,msillm_q2,76.41975308641975,,
msillm,msillm_q3,85.20987654320987,,
msillm,msillm_q4,93.06172839506173,,
msillm,msillm_q5,96.74074074074075,,
msillm,msillm_q6,98.41975308641975,,
jpeg_ai,jpeg_ai_q1,74.54320987654322,,
jpeg_ai,jpeg_ai_q2,82.81057051123734,,
jpeg_ai,jpeg_ai_q3,86.12345679012346,,
jpeg_ai,jpeg_ai_q4,87.62962962962963,,
jpeg_ai,jpeg_ai_q5,88.98765432098766,,
jpeg_ai,jpeg_ai_q6,89.95061728395062,,
